	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	0	0	8	22	12	11
IGHV1-2	0	0	2	12	4	10
IGHV1-24	0	0	1	8	1	1
IGHV1-3	1	1	3	9	5	5
IGHV1-46	4	2	4	30	5	2
IGHV1-58	0	1	1	2	0	2
IGHV1-69	0	0	9	19	6	11
IGHV1-8	0	0	3	11	1	5
IGHV2-26	0	1	0	1	0	0
IGHV2-5	1	1	5	6	1	0
IGHV2-70	0	0	0	6	0	0
IGHV3-11	1	0	2	11	2	0
IGHV3-13	0	0	0	6	0	1
IGHV3-15	1	0	1	5	7	5
IGHV3-21	0	1	3	23	2	8
IGHV3-23	0	3	10	22	5	9
IGHV3-30	0	0	0	17	1	3
IGHV3-30-3	1	0	5	9	0	5
IGHV3-33	1	3	10	20	4	16
IGHV3-43	1	0	0	3	0	0
IGHV3-48	0	0	5	14	3	5
IGHV3-49	0	0	0	7	0	2
IGHV3-53	0	0	2	2	0	2
IGHV3-64D	0	0	0	2	0	0
IGHV3-66	1	0	4	10	0	3
IGHV3-7	0	0	3	12	2	6
IGHV3-72	0	0	0	1	0	0
IGHV3-73	0	0	0	2	0	0
IGHV3-74	0	0	5	7	3	4
IGHV3-9	0	0	0	11	4	0
IGHV4-30-2	0	1	2	1	2	0
IGHV4-30-4	0	0	0	5	1	0
IGHV4-31	1	0	0	6	2	1
IGHV4-34	4	0	6	36	9	6
IGHV4-39	0	0	7	30	9	9
IGHV4-4	0	1	2	8	6	6
IGHV4-59	1	1	11	126	14	22
IGHV5-10-1	0	0	0	1	1	0
IGHV5-51	0	1	12	17	6	15
IGHV6-1	0	1	1	2	0	1
IGHV7-4-1	0	0	0	0	0	1
